sma_fast,sma_slow,rsi_low,rsi_high,ml_conf,pnl,max_dd,sharpe
50,200,20,80,0.55,-7.387714013538466,7.390890153214473,-13.490227127992892
50,200,20,80,0.6,-8.0593243784056,8.062789258052115,-13.490230108578182
50,200,20,80,0.65,-8.730934743272739,8.734688362890223,-13.490232630612908
50,200,20,80,0.7,-9.402545108139872,9.406587467728082,-13.490234792357708
50,200,20,80,0.75,-10.074155473007007,10.078486572565017,-13.490236665870434
20,200,20,80,0.55,-8.612659411000863,8.615870272130213,-15.75317714867489
20,200,20,80,0.6,-9.39562844836458,9.399131205959907,-15.753180635034207
20,200,20,80,0.65,-10.178597485728291,10.182392139791146,-15.753183585031742
20,200,20,80,0.7,-10.961566523092007,10.965653073620953,-15.75318611360195
20,200,20,80,0.75,-11.744535560455715,11.74891400745033,-15.753188305030102
10,200,20,80,0.55,-9.305911357668327,9.308149263853622,-17.03793427817085
10,200,20,80,0.6,-10.151903299274542,10.15434465147577,-17.03793805257213
10,200,20,80,0.65,-10.997895240880755,11.000540039099867,-17.037941246297585
10,200,20,80,0.7,-11.843887182486965,11.846735426722747,-17.037943983777502
10,200,20,80,0.75,-12.689879124093176,12.692930814344868,-17.037946356260807
50,100,20,80,0.55,-9.938702508183745,9.960413148413513,-18.085878476654145
50,100,20,80,0.6,-10.842220918018624,10.865905252814295,-18.085882458850104
50,100,20,80,0.65,-11.74573932785351,11.771397357216873,-18.085885828401913
50,100,20,80,0.7,-12.649257737688401,12.676889461617279,-18.08588871659019
50,100,20,80,0.75,-13.552776147523284,13.5823815660178,-18.085891219687422
20,100,20,80,0.55,-11.080041514598484,11.090162598332347,-20.226215661738486
20,100,20,80,0.6,-12.08731801592562,12.098359198179946,-20.226220129201682
20,100,20,80,0.65,-13.094594517252759,13.106555798029254,-20.226223909364396
20,100,20,80,0.7,-14.101871018579882,14.11475239787731,-20.226227149504957
20,100,20,80,0.75,-15.109147519907028,15.12294899772493,-20.226229957627663
10,100,20,80,0.55,-11.98470842151251,11.988799071303118,-21.90913579166965
10,100,20,80,0.6,-13.074227368922749,13.078689895966145,-21.90914063781156
10,100,20,80,0.65,-14.163746316332965,14.168580720630917,-21.909144738394804
10,100,20,80,0.7,-15.253265263743199,15.258471545294123,-21.9091482531817
10,100,20,80,0.75,-16.342784211153425,16.34836236995757,-21.909151299331246
50,200,30,70,0.55,-26.010852129502563,26.011572468702717,-49.66945825181013
50,200,30,70,0.6,-28.375475050366404,28.37626087496662,-49.669469727990666
50,200,30,70,0.65,-30.74009797123029,30.740949281212334,-49.669479438609216
50,200,30,70,0.7,-33.10472089209416,33.1056376874469,-49.669487761999505
50,200,30,70,0.75,-35.469343812958016,35.470326093691206,-49.66949497560667
50,100,30,70,0.55,-29.58115618523715,29.583250810276713,-56.419295395586005
50,100,30,70,0.6,-32.27035220207688,32.2726372475977,-56.41930841565479
50,100,30,70,0.65,-34.95954821891665,34.9620236848897,-56.41931943264083
50,100,30,70,0.7,-37.64874423575636,37.65141012217232,-56.41932887577505
50,100,30,70,0.75,-40.3379402525961,40.34079655948596,-56.419337059827306
20,200,30,70,0.55,-30.022907680547142,30.023628019743665,-57.738404911978506
20,200,30,70,0.6,-32.75226292423326,32.7530487488359,-57.73841834735751
20,200,30,70,0.65,-35.48161816791936,35.48246947789823,-57.73842971576002
20,200,30,70,0.7,-38.210973411605444,38.21189020694796,-57.73843946010855
20,200,30,70,0.75,-40.94032865529155,40.94131093603536,-57.7384479052133
10,200,30,70,0.55,-32.772099660206734,32.77281999940025,-63.301033434001944
10,200,30,70,0.6,-35.75138144749826,35.75216727209613,-63.301048228166444
10,200,30,70,0.65,-38.73066323478978,38.73151454476263,-63.30106074631101
10,200,30,70,0.7,-41.709945022081314,41.710861817415996,-63.30107147615318
10,200,30,70,0.75,-44.689226809372826,44.69020909012359,-63.30108077535264
20,100,30,70,0.55,-34.61703343672418,34.619128061757934,-66.66261376313223
20,100,30,70,0.6,-37.76403647642639,37.76632152194,-66.66262929586742
20,100,30,70,0.65,-40.911039516128575,40.91351498208947,-66.66264243895662
20,100,30,70,0.7,-44.058042555830774,44.06070844223459,-66.66265370446581
20,100,30,70,0.75,-47.20504559553298,47.20790190243548,-66.6626634679102
10,100,30,70,0.55,-38.181717985539905,38.18381261056884,-73.96474189472815
10,100,30,70,0.6,-41.65278325695264,41.65506830245977,-73.9647592314562
10,100,30,70,0.65,-45.123848528365336,45.126323994316685,-73.96477390100159
10,100,30,70,0.7,-48.59491379977802,48.59757968617246,-73.96478647490225
10,100,30,70,0.75,-52.06597907119079,52.06883537810059,-73.96479737228644
